TableS4. Integrated SFTSV sequences for Strains annottated for all the three segments information,,,,,,,,,,,,,,,,,,
accession_L,length_L,collection_date_L,host_L,strain,country_original_L,segment_L,accession_M,length_M,collection_date_M,host_M,country_original_M,segment_M,accession_S,length,collection_date,host,country_original,segment
OM453406,6368,1/1/2018,Homo sapiens,18-China_Hubei-58,China: Hubei,L,MN510174,3378,1/1/2018,Homo sapiens,China,M,OM452029,1744,43101,Homo sapiens,China: Hubei,S
OM453423,6368,1/1/2019,Homo sapiens,19-China_Henan-12,China: Henan,L,OM452744,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452045,1744,43466,Homo sapiens,China: Henan,S
OM453543,6368,1/1/2019,Homo sapiens,19-China_Henan-126,China: Henan,L,OM452864,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452165,1744,43466,Homo sapiens,China: Henan,S
OM453544,6368,1/1/2019,Homo sapiens,19-China_Henan-129,China: Henan,L,OM452865,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452166,1744,43466,Homo sapiens,China: Henan,S
OM453545,6368,1/1/2019,Homo sapiens,19-China_Henan-132,China: Henan,L,OM452866,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452167,1744,43466,Homo sapiens,China: Henan,S
OM453546,6368,1/1/2019,Homo sapiens,19-China_Henan-133,China: Henan,L,OM452867,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452168,1744,43466,Homo sapiens,China: Henan,S
OM453547,6368,1/1/2019,Homo sapiens,19-China_Henan-137,China: Henan,L,OM452868,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452169,1744,43466,Homo sapiens,China: Henan,S
OM453548,6368,1/1/2019,Homo sapiens,19-China_Henan-139,China: Henan,L,OM452869,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452170,1744,43466,Homo sapiens,China: Henan,S
OM453549,6368,1/1/2019,Homo sapiens,19-China_Henan-148,China: Henan,L,OM452870,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452171,1744,43466,Homo sapiens,China: Henan,S
OM453550,6368,1/1/2019,Homo sapiens,19-China_Henan-156,China: Henan,L,OM452871,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452172,1744,43466,Homo sapiens,China: Henan,S
OM453551,6368,1/1/2019,Homo sapiens,19-China_Henan-160,China: Henan,L,OM452872,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452173,1744,43466,Homo sapiens,China: Henan,S
OM453425,6368,1/1/2019,Homo sapiens,19-China_Henan-162,China: Henan,L,OM452746,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452047,1744,43466,Homo sapiens,China: Henan,S
OM453553,6368,1/1/2019,Homo sapiens,19-China_Henan-173,China: Henan,L,OM452874,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452175,1744,43466,Homo sapiens,China: Henan,S
OM453555,6368,1/1/2019,Homo sapiens,19-China_Henan-175,China: Henan,L,OM452876,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452177,1744,43466,Homo sapiens,China: Henan,S
OM453556,6368,1/1/2019,Homo sapiens,19-China_Henan-177,China: Henan,L,OM452877,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452178,1744,43466,Homo sapiens,China: Henan,S
OM453557,6368,1/1/2019,Homo sapiens,19-China_Henan-179,China: Henan,L,OM452878,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452179,1744,43466,Homo sapiens,China: Henan,S
OM453558,6368,1/1/2019,Homo sapiens,19-China_Henan-183,China: Henan,L,OM452879,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452180,1744,43466,Homo sapiens,China: Henan,S
OM453427,6368,1/1/2019,Homo sapiens,19-China_Henan-186,China: Henan,L,OM452748,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452049,1744,43466,Homo sapiens,China: Henan,S
OM453560,6368,1/1/2019,Homo sapiens,19-China_Henan-189,China: Henan,L,OM452881,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452182,1744,43466,Homo sapiens,China: Henan,S
OM453428,6368,1/1/2019,Homo sapiens,19-China_Henan-19,China: Henan,L,OM452749,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452050,1744,43466,Homo sapiens,China: Henan,S
OM453429,6368,1/1/2019,Homo sapiens,19-China_Henan-193,China: Henan,L,OM452750,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452051,1744,43466,Homo sapiens,China: Henan,S
OM453562,6368,1/1/2019,Homo sapiens,19-China_Henan-197,China: Henan,L,OM452883,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452184,1744,43466,Homo sapiens,China: Henan,S
OM453563,6368,1/1/2019,Homo sapiens,19-China_Henan-198,China: Henan,L,OM452884,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452185,1744,43466,Homo sapiens,China: Henan,S
OM453564,6368,1/1/2019,Homo sapiens,19-China_Henan-199,China: Henan,L,OM452885,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452186,1744,43466,Homo sapiens,China: Henan,S
OM453565,6368,1/1/2019,Homo sapiens,19-China_Henan-201,China: Henan,L,OM452886,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452187,1744,43466,Homo sapiens,China: Henan,S
OM453566,6368,1/1/2019,Homo sapiens,19-China_Henan-208,China: Henan,L,OM452887,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452188,1744,43466,Homo sapiens,China: Henan,S
OM453567,6368,1/1/2019,Homo sapiens,19-China_Henan-214,China: Henan,L,OM452888,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452189,1744,43466,Homo sapiens,China: Henan,S
OM453568,6368,1/1/2019,Homo sapiens,19-China_Henan-215,China: Henan,L,OM452889,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452190,1744,43466,Homo sapiens,China: Henan,S
OM453569,6368,1/1/2019,Homo sapiens,19-China_Henan-217,China: Henan,L,OM452890,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452191,1744,43466,Homo sapiens,China: Henan,S
OM453570,6368,1/1/2019,Homo sapiens,19-China_Henan-223,China: Henan,L,OM452891,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452192,1744,43466,Homo sapiens,China: Henan,S
OM453571,6368,1/1/2019,Homo sapiens,19-China_Henan-227,China: Henan,L,OM452892,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452193,1744,43466,Homo sapiens,China: Henan,S
OM453430,6368,1/1/2019,Homo sapiens,19-China_Henan-231,China: Henan,L,OM452751,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452052,1744,43466,Homo sapiens,China: Henan,S
OM453572,6368,1/1/2019,Homo sapiens,19-China_Henan-232,China: Henan,L,OM452893,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452194,1744,43466,Homo sapiens,China: Henan,S
OM453431,6368,1/1/2019,Homo sapiens,19-China_Henan-233,China: Henan,L,OM452752,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452053,1744,43466,Homo sapiens,China: Henan,S
OM453432,6368,1/1/2019,Homo sapiens,19-China_Henan-234,China: Henan,L,OM452753,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452054,1744,43466,Homo sapiens,China: Henan,S
OM453573,6368,1/1/2019,Homo sapiens,19-China_Henan-235,China: Henan,L,OM452894,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452195,1744,43466,Homo sapiens,China: Henan,S
OM453574,6368,1/1/2019,Homo sapiens,19-China_Henan-236,China: Henan,L,OM452895,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452196,1744,43466,Homo sapiens,China: Henan,S
OM453433,6368,1/1/2019,Homo sapiens,19-China_Henan-237,China: Henan,L,OM452754,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452055,1744,43466,Homo sapiens,China: Henan,S
OM453576,6368,1/1/2019,Homo sapiens,19-China_Henan-241,China: Henan,L,OM452897,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452198,1744,43466,Homo sapiens,China: Henan,S
OM453577,6368,1/1/2019,Homo sapiens,19-China_Henan-242,China: Henan,L,OM452898,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452199,1744,43466,Homo sapiens,China: Henan,S
OM453578,6368,1/1/2019,Homo sapiens,19-China_Henan-243,China: Henan,L,OM452899,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452200,1744,43466,Homo sapiens,China: Henan,S
OM453435,6368,1/1/2019,Homo sapiens,19-China_Henan-248,China: Henan,L,OM452756,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452057,1744,43466,Homo sapiens,China: Henan,S
OM453580,6368,1/1/2019,Homo sapiens,19-China_Henan-253,China: Henan,L,OM452901,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452202,1744,43466,Homo sapiens,China: Henan,S
OM453581,6368,1/1/2019,Homo sapiens,19-China_Henan-254,China: Henan,L,OM452902,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452203,1744,43466,Homo sapiens,China: Henan,S
OM453582,6368,1/1/2019,Homo sapiens,19-China_Henan-259,China: Henan,L,OM452903,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452204,1744,43466,Homo sapiens,China: Henan,S
OM453583,6368,1/1/2019,Homo sapiens,19-China_Henan-260,China: Henan,L,OM452904,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452205,1744,43466,Homo sapiens,China: Henan,S
OM453584,6368,1/1/2019,Homo sapiens,19-China_Henan-261,China: Henan,L,OM452905,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452206,1744,43466,Homo sapiens,China: Henan,S
OM453585,6368,1/1/2019,Homo sapiens,19-China_Henan-262,China: Henan,L,OM452906,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452207,1744,43466,Homo sapiens,China: Henan,S
OM453587,6368,1/1/2019,Homo sapiens,19-China_Henan-264,China: Henan,L,OM452908,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452209,1744,43466,Homo sapiens,China: Henan,S
OM453588,6368,1/1/2019,Homo sapiens,19-China_Henan-266,China: Henan,L,OM452909,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452210,1744,43466,Homo sapiens,China: Henan,S
OM453589,6368,1/1/2019,Homo sapiens,19-China_Henan-268,China: Henan,L,OM452910,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452211,1744,43466,Homo sapiens,China: Henan,S
OM453436,6368,1/1/2019,Homo sapiens,19-China_Henan-271,China: Henan,L,OM452757,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452058,1744,43466,Homo sapiens,China: Henan,S
OM453590,6368,1/1/2019,Homo sapiens,19-China_Henan-272,China: Henan,L,OM452911,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452212,1744,43466,Homo sapiens,China: Henan,S
OM453591,6368,1/1/2019,Homo sapiens,19-China_Henan-273,China: Henan,L,OM452912,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452213,1744,43466,Homo sapiens,China: Henan,S
OM453592,6368,1/1/2019,Homo sapiens,19-China_Henan-274,China: Henan,L,OM452913,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452214,1744,43466,Homo sapiens,China: Henan,S
OM453593,6368,1/1/2019,Homo sapiens,19-China_Henan-278,China: Henan,L,OM452914,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452215,1744,43466,Homo sapiens,China: Henan,S
OM453595,6368,1/1/2019,Homo sapiens,19-China_Henan-280,China: Henan,L,OM452916,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452217,1744,43466,Homo sapiens,China: Henan,S
OM453596,6368,1/1/2019,Homo sapiens,19-China_Henan-285,China: Henan,L,OM452917,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452218,1744,43466,Homo sapiens,China: Henan,S
OM453437,6368,1/1/2019,Homo sapiens,19-China_Henan-287,China: Henan,L,OM452758,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452059,1744,43466,Homo sapiens,China: Henan,S
OM453598,6368,1/1/2019,Homo sapiens,19-China_Henan-295,China: Henan,L,OM452919,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452220,1744,43466,Homo sapiens,China: Henan,S
OM453600,6368,1/1/2019,Homo sapiens,19-China_Henan-298,China: Henan,L,OM452921,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452222,1744,43466,Homo sapiens,China: Henan,S
OM453438,6368,1/1/2019,Homo sapiens,19-China_Henan-3,China: Henan,L,OM452759,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452060,1744,43466,Homo sapiens,China: Henan,S
OM453602,6368,1/1/2019,Homo sapiens,19-China_Henan-301,China: Henan,L,OM452923,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452224,1744,43466,Homo sapiens,China: Henan,S
OM453603,6368,1/1/2019,Homo sapiens,19-China_Henan-302,China: Henan,L,OM452924,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452225,1744,43466,Homo sapiens,China: Henan,S
OM453604,6368,1/1/2019,Homo sapiens,19-China_Henan-304,China: Henan,L,OM452925,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452226,1744,43466,Homo sapiens,China: Henan,S
OM453605,6368,1/1/2019,Homo sapiens,19-China_Henan-305,China: Henan,L,OM452926,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452227,1744,43466,Homo sapiens,China: Henan,S
OM453607,6368,1/1/2019,Homo sapiens,19-China_Henan-308,China: Henan,L,OM452928,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452229,1744,43466,Homo sapiens,China: Henan,S
OM453439,6368,1/1/2019,Homo sapiens,19-China_Henan-309,China: Henan,L,OM452760,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452061,1744,43466,Homo sapiens,China: Henan,S
OM453440,6368,1/1/2019,Homo sapiens,19-China_Henan-313,China: Henan,L,OM452761,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452062,1744,43466,Homo sapiens,China: Henan,S
OM453441,6368,1/1/2019,Homo sapiens,19-China_Henan-316,China: Henan,L,OM452762,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452063,1744,43466,Homo sapiens,China: Henan,S
OM453442,6368,1/1/2019,Homo sapiens,19-China_Henan-317,China: Henan,L,OM452763,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452064,1744,43466,Homo sapiens,China: Henan,S
OM453610,6368,1/1/2019,Homo sapiens,19-China_Henan-321,China: Henan,L,OM452931,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452232,1744,43466,Homo sapiens,China: Henan,S
OM453611,6368,1/1/2019,Homo sapiens,19-China_Henan-322,China: Henan,L,OM452932,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452233,1744,43466,Homo sapiens,China: Henan,S
OM453612,6368,1/1/2019,Homo sapiens,19-China_Henan-323,China: Henan,L,OM452933,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452234,1744,43466,Homo sapiens,China: Henan,S
OM453613,6368,1/1/2019,Homo sapiens,19-China_Henan-324,China: Henan,L,OM452934,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452235,1744,43466,Homo sapiens,China: Henan,S
OM453443,6368,1/1/2019,Homo sapiens,19-China_Henan-330,China: Henan,L,OM452764,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452065,1744,43466,Homo sapiens,China: Henan,S
OM453615,6368,1/1/2019,Homo sapiens,19-China_Henan-358,China: Henan,L,OM452936,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452237,1744,43466,Homo sapiens,China: Henan,S
OM453617,6368,1/1/2019,Homo sapiens,19-China_Henan-382,China: Henan,L,OM452938,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452239,1744,43466,Homo sapiens,China: Henan,S
OM453618,6368,1/1/2019,Homo sapiens,19-China_Henan-388,China: Henan,L,OM452939,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452240,1744,43466,Homo sapiens,China: Henan,S
OM453445,6368,1/1/2019,Homo sapiens,19-China_Henan-94,China: Henan,L,OM452766,3378,1/1/2019,Homo sapiens,China: Henan,M,OM452067,1744,43466,Homo sapiens,China: Henan,S
OM453424,6368,1/1/2019,Homo sapiens,19-China_Hubei-144,China: Hubei,L,OM452745,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452046,1744,43466,Homo sapiens,China: Hubei,S
OM453552,6368,1/1/2019,Homo sapiens,19-China_Hubei-166,China: Hubei,L,OM452873,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452174,1744,43466,Homo sapiens,China: Hubei,S
OM453426,6368,1/1/2019,Homo sapiens,19-China_Hubei-167,China: Hubei,L,OM452747,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452048,1744,43466,Homo sapiens,China: Hubei,S
OM453554,6368,1/1/2019,Homo sapiens,19-China_Hubei-174,China: Hubei,L,OM452875,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452176,1744,43466,Homo sapiens,China: Hubei,S
OM453559,6368,1/1/2019,Homo sapiens,19-China_Hubei-185,China: Hubei,L,OM452880,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452181,1744,43466,Homo sapiens,China: Hubei,S
OM453561,6368,1/1/2019,Homo sapiens,19-China_Hubei-195,China: Hubei,L,OM452882,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452183,1744,43466,Homo sapiens,China: Hubei,S
OM453434,6368,1/1/2019,Homo sapiens,19-China_Hubei-238,China: Hubei,L,OM452755,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452056,1744,43466,Homo sapiens,China: Hubei,S
OM453575,6368,1/1/2019,Homo sapiens,19-China_Hubei-240,China: Hubei,L,OM452896,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452197,1744,43466,Homo sapiens,China: Hubei,S
OM453579,6368,1/1/2019,Homo sapiens,19-China_Hubei-249,China: Hubei,L,OM452900,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452201,1744,43466,Homo sapiens,China: Hubei,S
OM453586,6368,1/1/2019,Homo sapiens,19-China_Hubei-263,China: Hubei,L,OM452907,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452208,1744,43466,Homo sapiens,China: Hubei,S
OM453594,6368,1/1/2019,Homo sapiens,19-China_Hubei-279,China: Hubei,L,OM452915,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452216,1744,43466,Homo sapiens,China: Hubei,S
OM453597,6368,1/1/2019,Homo sapiens,19-China_Hubei-291,China: Hubei,L,OM452918,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452219,1744,43466,Homo sapiens,China: Hubei,S
OM453599,6368,1/1/2019,Homo sapiens,19-China_Hubei-297,China: Hubei,L,OM452920,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452221,1744,43466,Homo sapiens,China: Hubei,S
OM453601,6368,1/1/2019,Homo sapiens,19-China_Hubei-299,China: Hubei,L,OM452922,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452223,1744,43466,Homo sapiens,China: Hubei,S
OM453606,6368,1/1/2019,Homo sapiens,19-China_Hubei-306,China: Hubei,L,OM452927,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452228,1744,43466,Homo sapiens,China: Hubei,S
OM453608,6368,1/1/2019,Homo sapiens,19-China_Hubei-310,China: Hubei,L,OM452929,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452230,1744,43466,Homo sapiens,China: Hubei,S
OM453609,6368,1/1/2019,Homo sapiens,19-China_Hubei-314,China: Hubei,L,OM452930,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452231,1744,43466,Homo sapiens,China: Hubei,S
OM453614,6368,1/1/2019,Homo sapiens,19-China_Hubei-327,China: Hubei,L,OM452935,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452236,1744,43466,Homo sapiens,China: Hubei,S
OM453616,6368,1/1/2019,Homo sapiens,19-China_Hubei-377,China: Hubei,L,OM452937,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452238,1744,43466,Homo sapiens,China: Hubei,S
OM453444,6368,1/1/2019,Homo sapiens,19-China_Hubei-7,China: Hubei,L,OM452765,3378,1/1/2019,Homo sapiens,China: Hubei,M,OM452066,1744,43466,Homo sapiens,China: Hubei,S
OM453446,6368,1/1/2020,Homo sapiens,20-China_Henan-1,China: Henan,L,OM452767,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452068,1744,43831,Homo sapiens,China: Henan,S
OM453447,6368,1/1/2020,Homo sapiens,20-China_Henan-100,China: Henan,L,OM452768,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452069,1744,43831,Homo sapiens,China: Henan,S
OM453448,6368,1/1/2020,Homo sapiens,20-China_Henan-102,China: Henan,L,OM452769,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452070,1744,43831,Homo sapiens,China: Henan,S
OM453450,6368,1/1/2020,Homo sapiens,20-China_Henan-108,China: Henan,L,OM452771,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452072,1744,43831,Homo sapiens,China: Henan,S
OM453451,6368,1/1/2020,Homo sapiens,20-China_Henan-111,China: Henan,L,OM452772,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452073,1744,43831,Homo sapiens,China: Henan,S
OM453452,6368,1/1/2020,Homo sapiens,20-China_Henan-112,China: Henan,L,OM452773,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452074,1744,43831,Homo sapiens,China: Henan,S
OM453453,6368,1/1/2020,Homo sapiens,20-China_Henan-113,China: Henan,L,OM452774,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452075,1744,43831,Homo sapiens,China: Henan,S
OM453454,6368,1/1/2020,Homo sapiens,20-China_Henan-114,China: Henan,L,OM452775,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452076,1744,43831,Homo sapiens,China: Henan,S
OM453620,6368,1/1/2020,Homo sapiens,20-China_Henan-115,China: Henan,L,OM452941,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452242,1744,43831,Homo sapiens,China: Henan,S
OM453456,6368,1/1/2020,Homo sapiens,20-China_Henan-118,China: Henan,L,OM452777,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452078,1744,43831,Homo sapiens,China: Henan,S
OM453619,6368,1/1/2020,Homo sapiens,20-China_Henan-12,China: Henan,L,OM452940,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452241,1744,43831,Homo sapiens,China: Henan,S
OM453457,6368,1/1/2020,Homo sapiens,20-China_Henan-120,China: Henan,L,OM452778,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452079,1744,43831,Homo sapiens,China: Henan,S
OM453458,6368,1/1/2020,Homo sapiens,20-China_Henan-122,China: Henan,L,OM452779,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452080,1744,43831,Homo sapiens,China: Henan,S
OM453459,6368,1/1/2020,Homo sapiens,20-China_Henan-126,China: Henan,L,OM452780,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452081,1744,43831,Homo sapiens,China: Henan,S
OM453460,6368,1/1/2020,Homo sapiens,20-China_Henan-13,China: Henan,L,OM452781,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452082,1744,43831,Homo sapiens,China: Henan,S
OM453461,6368,1/1/2020,Homo sapiens,20-China_Henan-130,China: Henan,L,OM452782,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452083,1744,43831,Homo sapiens,China: Henan,S
OM453462,6368,1/1/2020,Homo sapiens,20-China_Henan-133,China: Henan,L,OM452783,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452084,1744,43831,Homo sapiens,China: Henan,S
OM453463,6368,1/1/2020,Homo sapiens,20-China_Henan-134,China: Henan,L,OM452784,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452085,1744,43831,Homo sapiens,China: Henan,S
OM453464,6368,1/1/2020,Homo sapiens,20-China_Henan-137,China: Henan,L,OM452785,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452086,1744,43831,Homo sapiens,China: Henan,S
OM453465,6368,1/1/2020,Homo sapiens,20-China_Henan-138,China: Henan,L,OM452786,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452087,1744,43831,Homo sapiens,China: Henan,S
OM453621,6368,1/1/2020,Homo sapiens,20-China_Henan-139,China: Henan,L,OM452942,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452243,1744,43831,Homo sapiens,China: Henan,S
OM453466,6368,1/1/2020,Homo sapiens,20-China_Henan-14,China: Henan,L,OM452787,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452088,1744,43831,Homo sapiens,China: Henan,S
OM453467,6368,1/1/2020,Homo sapiens,20-China_Henan-140,China: Henan,L,OM452788,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452089,1744,43831,Homo sapiens,China: Henan,S
OM453468,6368,1/1/2020,Homo sapiens,20-China_Henan-142,China: Henan,L,OM452789,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452090,1744,43831,Homo sapiens,China: Henan,S
OM453470,6368,1/1/2020,Homo sapiens,20-China_Henan-144,China: Henan,L,OM452791,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452092,1744,43831,Homo sapiens,China: Henan,S
OM453471,6368,1/1/2020,Homo sapiens,20-China_Henan-145,China: Henan,L,OM452792,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452093,1744,43831,Homo sapiens,China: Henan,S
OM453472,6368,1/1/2020,Homo sapiens,20-China_Henan-149,China: Henan,L,OM452793,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452094,1744,43831,Homo sapiens,China: Henan,S
OM453473,6368,1/1/2020,Homo sapiens,20-China_Henan-15,China: Henan,L,OM452794,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452095,1744,43831,Homo sapiens,China: Henan,S
OM453474,6368,1/1/2020,Homo sapiens,20-China_Henan-153,China: Henan,L,OM452795,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452096,1744,43831,Homo sapiens,China: Henan,S
OM453475,6368,1/1/2020,Homo sapiens,20-China_Henan-156,China: Henan,L,OM452796,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452097,1744,43831,Homo sapiens,China: Henan,S
OM453476,6368,1/1/2020,Homo sapiens,20-China_Henan-157,China: Henan,L,OM452797,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452098,1744,43831,Homo sapiens,China: Henan,S
OM453477,6368,1/1/2020,Homo sapiens,20-China_Henan-158,China: Henan,L,OM452798,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452099,1744,43831,Homo sapiens,China: Henan,S
OM453478,6368,1/1/2020,Homo sapiens,20-China_Henan-168,China: Henan,L,OM452799,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452100,1744,43831,Homo sapiens,China: Henan,S
OM453479,6368,1/1/2020,Homo sapiens,20-China_Henan-175,China: Henan,L,OM452800,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452101,1744,43831,Homo sapiens,China: Henan,S
OM453480,6368,1/1/2020,Homo sapiens,20-China_Henan-177,China: Henan,L,OM452801,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452102,1744,43831,Homo sapiens,China: Henan,S
OM453481,6368,1/1/2020,Homo sapiens,20-China_Henan-178,China: Henan,L,OM452802,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452103,1744,43831,Homo sapiens,China: Henan,S
OM453482,6368,1/1/2020,Homo sapiens,20-China_Henan-180,China: Henan,L,OM452803,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452104,1744,43831,Homo sapiens,China: Henan,S
OM453483,6368,1/1/2020,Homo sapiens,20-China_Henan-181,China: Henan,L,OM452804,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452105,1744,43831,Homo sapiens,China: Henan,S
OM453484,6368,1/1/2020,Homo sapiens,20-China_Henan-182,China: Henan,L,OM452805,3378,1/1/2020,Homo sapiens,China: Henan,M,OM452106,1744,43831,Homo sapiens,China: Henan,S
